Bin Range,Count
-0.265 to -0.253,2
-0.253 to -0.240,7
-0.240 to -0.228,32
-0.228 to -0.215,65
-0.215 to -0.202,170
-0.202 to -0.190,395
-0.190 to -0.177,864
-0.177 to -0.164,1784
-0.164 to -0.152,3574
-0.152 to -0.139,6897
-0.139 to -0.126,12453
-0.126 to -0.114,21250
-0.114 to -0.101,34890
-0.101 to -0.088,54463
-0.088 to -0.076,80909
-0.076 to -0.063,116197
-0.063 to -0.050,158121
-0.050 to -0.038,205878
-0.038 to -0.025,258989
-0.025 to -0.012,312548
-0.012 to 0.000,364344
0.000 to 0.013,409140
0.013 to 0.026,446181
0.026 to 0.038,470512
0.038 to 0.051,484111
0.051 to 0.064,486618
0.064 to 0.076,478504
0.076 to 0.089,462892
0.089 to 0.102,436553
0.102 to 0.114,408723
0.114 to 0.127,377282
0.127 to 0.139,342634
0.139 to 0.152,309303
0.152 to 0.165,276523
0.165 to 0.177,244030
0.177 to 0.190,214372
0.190 to 0.203,188067
0.203 to 0.215,162759
0.215 to 0.228,139941
0.228 to 0.241,119236
0.241 to 0.253,101475
0.253 to 0.266,85617
0.266 to 0.279,71672
0.279 to 0.291,59443
0.291 to 0.304,49794
0.304 to 0.317,40876
0.317 to 0.329,33565
0.329 to 0.342,27154
0.342 to 0.355,22107
0.355 to 0.367,18031
0.367 to 0.380,14351
0.380 to 0.393,11506
0.393 to 0.405,9250
0.405 to 0.418,7331
0.418 to 0.431,5718
0.431 to 0.443,4642
0.443 to 0.456,3643
0.456 to 0.468,2872
0.468 to 0.481,2283
0.481 to 0.494,1890
0.494 to 0.506,1456
0.506 to 0.519,1162
0.519 to 0.532,916
0.532 to 0.544,760
0.544 to 0.557,641
0.557 to 0.570,467
0.570 to 0.582,392
0.582 to 0.595,315
0.595 to 0.608,261
0.608 to 0.620,221
0.620 to 0.633,181
0.633 to 0.646,148
0.646 to 0.658,114
0.658 to 0.671,96
0.671 to 0.684,70
0.684 to 0.696,75
0.696 to 0.709,43
0.709 to 0.722,39
0.722 to 0.734,40
0.734 to 0.747,23
0.747 to 0.760,19
0.760 to 0.772,12
0.772 to 0.785,14
0.785 to 0.798,11
0.798 to 0.810,8
0.810 to 0.823,8
0.823 to 0.835,7
0.835 to 0.848,5
0.848 to 0.861,2
0.861 to 0.873,1
0.873 to 0.886,1
0.886 to 0.899,0
0.899 to 0.911,0
0.911 to 0.924,1
0.924 to 0.937,2
0.937 to 0.949,0
0.949 to 0.962,0
0.962 to 0.975,0
0.975 to 0.987,0
0.987 to 1.000,56
